,fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name
185,27704,2018-12-09 19:30:00+00:00,1544383800,141,Segunda Division,Spain,2018,17,732,Zaragoza,713,Cordoba
186,27705,2018-12-16 19:00:00+00:00,1544986800,141,Segunda Division,Spain,2018,18,723,Almeria,716,Lugo
187,27706,2018-12-16 19:30:00+00:00,1544988600,141,Segunda Division,Spain,2018,18,544,Deportivo La Coruna,732,Zaragoza
188,27707,2018-12-16 17:00:00+00:00,1544979600,141,Segunda Division,Spain,2018,18,860,Extremadura,714,Gimnastic
189,27708,2018-12-15 15:00:00+00:00,1544886000,141,Segunda Division,Spain,2018,18,715,Granada CF,718,Oviedo
190,27709,2018-12-16 17:00:00+00:00,1544979600,141,Segunda Division,Spain,2018,18,534,Las Palmas,719,Tenerife
191,27710,2018-12-14 20:00:00+00:00,1544817600,141,Segunda Division,Spain,2018,18,535,Malaga,724,Cadiz
192,27711,2018-12-15 17:00:00+00:00,1544893200,141,Segunda Division,Spain,2018,18,717,Numancia,722,Albacete
193,27712,2018-12-16 15:00:00+00:00,1544972400,141,Segunda Division,Spain,2018,18,727,Osasuna,711,Alcorcon
194,27713,2018-12-16 11:00:00+00:00,1544958000,141,Segunda Division,Spain,2018,18,861,Rayo Majadahonda,797,Elche
195,27714,2018-12-15 17:00:00+00:00,1544893200,141,Segunda Division,Spain,2018,18,729,Reus,713,Cordoba
196,27715,2018-12-15 19:00:00+00:00,1544900400,141,Segunda Division,Spain,2018,18,731,Sporting Gijon,798,Mallorca
197,27716,2018-12-23 15:00:00+00:00,1545577200,141,Segunda Division,Spain,2018,19,722,Albacete,861,Rayo Majadahonda
198,27717,2018-12-23 17:00:00+00:00,1545584400,141,Segunda Division,Spain,2018,19,711,Alcorcon,717,Numancia
199,27718,2018-12-22 19:45:00+00:00,1545507900,141,Segunda Division,Spain,2018,19,724,Cadiz,544,Deportivo La Coruna
200,27719,2018-12-22 19:30:00+00:00,1545507000,141,Segunda Division,Spain,2018,19,713,Cordoba,534,Las Palmas
201,27720,2018-12-22 19:00:00+00:00,1545505200,141,Segunda Division,Spain,2018,19,797,Elche,723,Almeria
202,27721,2018-12-22 12:00:00+00:00,1545480000,141,Segunda Division,Spain,2018,19,716,Lugo,731,Sporting Gijon
203,27722,2018-12-21 20:00:00+00:00,1545422400,141,Segunda Division,Spain,2018,19,798,Mallorca,714,Gimnastic
204,27723,2018-12-22 15:00:00+00:00,1545490800,141,Segunda Division,Spain,2018,19,718,Oviedo,535,Malaga
205,27724,2018-12-23 11:00:00+00:00,1545562800,141,Segunda Division,Spain,2018,19,729,Reus,727,Osasuna
206,27725,2018-12-21 18:00:00+00:00,1545415200,141,Segunda Division,Spain,2018,19,719,Tenerife,715,Granada CF
207,27726,2018-12-22 17:00:00+00:00,1545498000,141,Segunda Division,Spain,2018,19,732,Zaragoza,860,Extremadura
208,27727,2019-01-06 11:00:00+00:00,1546772400,141,Segunda Division,Spain,2018,20,723,Almeria,798,Mallorca
209,27728,2019-01-06 16:30:00+00:00,1546792200,141,Segunda Division,Spain,2018,20,544,Deportivo La Coruna,716,Lugo
210,27729,2019-01-05 15:00:00+00:00,1546700400,141,Segunda Division,Spain,2018,20,860,Extremadura,711,Alcorcon
211,27730,2019-01-06 17:00:00+00:00,1546794000,141,Segunda Division,Spain,2018,20,714,Gimnastic,713,Cordoba
212,27731,2019-01-04 20:00:00+00:00,1546632000,141,Segunda Division,Spain,2018,20,715,Granada CF,722,Albacete
213,27732,2019-01-06 19:00:00+00:00,1546801200,141,Segunda Division,Spain,2018,20,535,Malaga,729,Reus
214,27733,2019-01-07 17:00:00+00:00,1546880400,141,Segunda Division,Spain,2018,20,717,Numancia,718,Oviedo
215,27734,2019-01-06 17:00:00+00:00,1546794000,141,Segunda Division,Spain,2018,20,727,Osasuna,724,Cadiz
216,27735,2019-01-07 20:00:00+00:00,1546891200,141,Segunda Division,Spain,2018,20,861,Rayo Majadahonda,534,Las Palmas
217,27736,2019-01-05 15:00:00+00:00,1546700400,141,Segunda Division,Spain,2018,20,731,Sporting Gijon,732,Zaragoza
218,27737,2019-01-04 20:00:00+00:00,1546632000,141,Segunda Division,Spain,2018,20,719,Tenerife,797,Elche
